assembly_accession_version	binding_status	annotation_object_id	annotation_path	annotation_view_paths	annotation_accession_version	annotation_provider	annotation_format	annotation_feature_rows	assembly_bgzf_path	assembly_fai_path	accepted_candidate_count	reason
GCA_009819825.1	EXACT_DICTIONARY	9c00991728abc301f2e9955db9095eaf716dacefb0216e03ca3e9b4887cbf295	/moosefs/erikg/vgp/objects/sha256/9c/00/9c00991728abc301f2e9955db9095eaf716dacefb0216e03ca3e9b4887cbf295	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_009819825.1/GCA_009819825.1-GB_2025_11_26/GCA_009819825.1_bCarCri1.pri_genomic.gff.gz""]"	GCA_009819825.1-GB_2025_11_26	Vertebrate Genome Laboratory	GFF3	640843	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/825/GCA_009819825.1/GCA_009819825.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/819/825/GCA_009819825.1/GCA_009819825.1.fa.gz.fai	3	all 110 annotation sequence names and lengths match the target FAI
GCA_009914755.4	EXACT_DICTIONARY	54c62bbaecede81d7bbf123a483300f13a9214750046d66a2930551f52d01750	/moosefs/erikg/vgp/freeze1/objects/GCA/009/914/755/GCA_009914755.4/genes/GCF_009914755.1_T2T-CHM13v2.0.110.20220412.ncbiRefSeq.gtf.gz	[]	ncbiRefSeq	NCBI RefSeq/UCSC genePred export	GTF	2190351	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/914/755/GCA_009914755.4/GCA_009914755.4.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/009/914/755/GCA_009914755.4/GCA_009914755.4.fa.gz.fai	7	all 24 annotation sequence names and lengths match the target FAI
GCA_011004875.1	EXACT_DICTIONARY	a0557b8765d47bb570ea989e39e8c41327ab5618be81b49f6e9bbd3045864132	/moosefs/erikg/vgp/freeze1/objects/GCA/011/004/875/GCA_011004875.1/genes/GCA_011004875.1_bBalReg1.pri.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	294276	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/011/004/875/GCA_011004875.1/GCA_011004875.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/011/004/875/GCA_011004875.1/GCA_011004875.1.fa.gz.fai	2	all 85 annotation sequence names and lengths match the target FAI
GCA_011762505.3	EXACT_DICTIONARY	41852c4564bcfedc06b79330a77e1856248f996ddbaf86dc72f517007c0643d1	/moosefs/erikg/vgp/freeze1/objects/GCA/011/762/505/GCA_011762505.3/genes/GCA_011762505.3_mArvNil1.pat.X.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	589369	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/011/762/505/GCA_011762505.3/GCA_011762505.3.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/011/762/505/GCA_011762505.3/GCA_011762505.3.fa.gz.fai	2	all 334 annotation sequence names and lengths match the target FAI
GCA_013358685.1	EXACT_DICTIONARY	ce15a442e7e94dffd6e1968cac8a4d7d0307e89bc2bbf7a7df2e09ce5189381f	/moosefs/erikg/vgp/freeze1/objects/GCA/013/358/685/GCA_013358685.1/genes/GCA_013358685.1_fAntMac1.pri.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	533172	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/013/358/685/GCA_013358685.1/GCA_013358685.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/013/358/685/GCA_013358685.1/GCA_013358685.1.fa.gz.fai	2	all 142 annotation sequence names and lengths match the target FAI
GCA_014706295.1	EXACT_DICTIONARY	5c0dd04123ab9a139468f60b17575b66129e4d09b8b000f74917b05e6f2d3db0	/moosefs/erikg/vgp/freeze1/objects/GCA/014/706/295/GCA_014706295.1/genes/GCA_014706295.1_ASM1470629v1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	289402	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/706/295/GCA_014706295.1/GCA_014706295.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/706/295/GCA_014706295.1/GCA_014706295.1.fa.gz.fai	2	all 332 annotation sequence names and lengths match the target FAI
GCA_014839685.1	EXACT_DICTIONARY	79c621d322f3bcd08e1a22116c1479f4012a1ad92d38eae62685b533cca79f2c	/moosefs/erikg/vgp/objects/sha256/79/c6/79c621d322f3bcd08e1a22116c1479f4012a1ad92d38eae62685b533cca79f2c	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_014839685.1/GCA_014839685.1-GB_2025_09_25/GCA_014839685.1_fAnaAna1.pri_genomic.gff.gz""]"	GCA_014839685.1-GB_2025_09_25	Vertebrate Genome Laboratory	GFF3	1029784	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/839/685/GCA_014839685.1/GCA_014839685.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/839/685/GCA_014839685.1/GCA_014839685.1.fa.gz.fai	4	all 33 annotation sequence names and lengths match the target FAI
GCA_014839755.1	EXACT_DICTIONARY	6572a9e6c2ab8e6e50a5461ac5675ebaa7bf861ac6bb437e0f65433a97a5369d	/moosefs/erikg/vgp/objects/sha256/65/72/6572a9e6c2ab8e6e50a5461ac5675ebaa7bf861ac6bb437e0f65433a97a5369d	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_014839755.1/GCA_014839755.1-GB_2025_08_04/GCA_014839755.1_bSylBor1.pri_genomic.gff.gz""]"	GCA_014839755.1-GB_2025_08_04	Vertebrate Genome Laboratory	GFF3	672330	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/839/755/GCA_014839755.1/GCA_014839755.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/839/755/GCA_014839755.1/GCA_014839755.1.fa.gz.fai	3	all 176 annotation sequence names and lengths match the target FAI
GCA_014839995.1	EXACT_DICTIONARY	6cb8d607547af88dfc25ce4f494799f37e5fd655200a5e58c59c2cf6c62b4a9b	/moosefs/erikg/vgp/objects/sha256/6c/b8/6cb8d607547af88dfc25ce4f494799f37e5fd655200a5e58c59c2cf6c62b4a9b	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_014839995.1/GCA_014839995.1-GB_2025_12_05/GCA_014839995.1_fXenCan1.pri_genomic.gff.gz""]"	GCA_014839995.1-GB_2025_12_05	Vertebrate Genome Laboratory	GFF3	687638	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/839/995/GCA_014839995.1/GCA_014839995.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/014/839/995/GCA_014839995.1/GCA_014839995.1.fa.gz.fai	3	all 410 annotation sequence names and lengths match the target FAI
GCA_015852565.1	EXACT_DICTIONARY	0a6166b6794669c2a5d623c5bfbe716946caaea98fc8c088eaea4af7261fd7a3	/moosefs/erikg/vgp/freeze1/objects/GCA/015/852/565/GCA_015852565.1/genes/GCA_015852565.1_bf_hap-2.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	1146132	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/015/852/565/GCA_015852565.1/GCA_015852565.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/015/852/565/GCA_015852565.1/GCA_015852565.1.fa.gz.fai	2	all 200 annotation sequence names and lengths match the target FAI
GCA_016904835.1	EXACT_DICTIONARY	18554894c9c978784ddecf8a2c38a83102a8fff0a57c19b7ede2a8d4615383ef	/moosefs/erikg/vgp/freeze1/objects/GCA/016/904/835/GCA_016904835.1/genes/GCA_016904835.1_bAcaChl1.pri.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	290627	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/016/904/835/GCA_016904835.1/GCA_016904835.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/016/904/835/GCA_016904835.1/GCA_016904835.1.fa.gz.fai	2	all 200 annotation sequence names and lengths match the target FAI
GCA_017639485.1	EXACT_DICTIONARY	7b3f7ae92014a168a1cf83fa83a05f4780a905b4d31e7b26534ffed4394050a0	/moosefs/erikg/vgp/objects/sha256/7b/3f/7b3f7ae92014a168a1cf83fa83a05f4780a905b4d31e7b26534ffed4394050a0	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_017639485.1/GCA_017639485.1-GB_2025_12_08/GCA_017639485.1_bPluApr1.pri_genomic.gff.gz""]"	GCA_017639485.1-GB_2025_12_08	Vertebrate Genome Laboratory	GFF3	1057300	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/017/639/485/GCA_017639485.1/GCA_017639485.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/017/639/485/GCA_017639485.1/GCA_017639485.1.fa.gz.fai	3	all 107 annotation sequence names and lengths match the target FAI
GCA_017639555.1	EXACT_DICTIONARY	db4a8c6050569a44dd2c9a88762e9533415386f9b1cc729a6832c11d46aebd69	/moosefs/erikg/vgp/objects/sha256/db/4a/db4a8c6050569a44dd2c9a88762e9533415386f9b1cc729a6832c11d46aebd69	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_017639555.1/GCA_017639555.1-GB_2025_09_05/GCA_017639555.1_bCicMag1.pri_genomic.gff.gz""]"	GCA_017639555.1-GB_2025_09_05	Vertebrate Genome Laboratory	GFF3	1031347	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/017/639/555/GCA_017639555.1/GCA_017639555.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/017/639/555/GCA_017639555.1/GCA_017639555.1.fa.gz.fai	3	all 153 annotation sequence names and lengths match the target FAI
GCA_017639675.1	EXACT_DICTIONARY	4d209a4a0f7ab92b9eb466ce9c228611f798f83a5b8f6020776497805365bd07	/moosefs/erikg/vgp/objects/sha256/4d/20/4d209a4a0f7ab92b9eb466ce9c228611f798f83a5b8f6020776497805365bd07	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_017639675.1/GCA_017639675.1-GB_2025_12_05/GCA_017639675.1_fAplTae1.pri_genomic.gff.gz""]"	GCA_017639675.1-GB_2025_12_05	Vertebrate Genome Laboratory	GFF3	552210	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/017/639/675/GCA_017639675.1/GCA_017639675.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/017/639/675/GCA_017639675.1/GCA_017639675.1.fa.gz.fai	3	all 41 annotation sequence names and lengths match the target FAI
GCA_019207075.1	EXACT_DICTIONARY	b0ef40d0b6dcfecc2c439c3db8603601d339b39d568a4f0c8b3e0604032808cf	/moosefs/erikg/vgp/freeze1/objects/GCA/019/207/075/GCA_019207075.1/genes/GCA_019207075.1_Bb-hap.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	1075185	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/019/207/075/GCA_019207075.1/GCA_019207075.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/019/207/075/GCA_019207075.1/GCA_019207075.1.fa.gz.fai	2	all 53 annotation sequence names and lengths match the target FAI
GCA_019677235.1	EXACT_DICTIONARY	a2ec8d776ae4b22ced671179985b74702ca59af260e6a5481003c75d7d0f3787	/moosefs/erikg/vgp/freeze1/objects/GCA/019/677/235/GCA_019677235.1/genes/GCA_019677235.1_HNU_Msal_1.0.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	592107	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/019/677/235/GCA_019677235.1/GCA_019677235.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/019/677/235/GCA_019677235.1/GCA_019677235.1.fa.gz.fai	2	all 135 annotation sequence names and lengths match the target FAI
GCA_020510985.1	EXACT_DICTIONARY	c70a531788e31ebaad428202eab4553e09d72b763555763620ea4f61b68b12d8	/moosefs/erikg/vgp/objects/sha256/c7/0a/c70a531788e31ebaad428202eab4553e09d72b763555763620ea4f61b68b12d8	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_020510985.1/GCA_020510985.1-GB_2025_10_13/GCA_020510985.1_fPhoLeu1.pri_genomic.gff.gz""]"	GCA_020510985.1-GB_2025_10_13	Vertebrate Genome Laboratory	GFF3	890132	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/510/985/GCA_020510985.1/GCA_020510985.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/510/985/GCA_020510985.1/GCA_020510985.1.fa.gz.fai	2	all 512 annotation sequence names and lengths match the target FAI
GCA_020745685.1	EXACT_DICTIONARY	65571062e5d983f8e279b4e3691e071c90bc18c50baa7c0e481c7bc8550319ad	/moosefs/erikg/vgp/objects/sha256/65/57/65571062e5d983f8e279b4e3691e071c90bc18c50baa7c0e481c7bc8550319ad	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_020745685.1/GCA_020745685.1-GB_2025_12_08/GCA_020745685.1_fTauAds1.pri.cur_genomic.gff.gz""]"	GCA_020745685.1-GB_2025_12_08	Vertebrate Genome Laboratory	GFF3	928908	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/745/685/GCA_020745685.1/GCA_020745685.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/745/685/GCA_020745685.1/GCA_020745685.1.fa.gz.fai	3	all 64 annotation sequence names and lengths match the target FAI
GCA_020745705.1	EXACT_DICTIONARY	e1284442db7637d8b34414f15157971d788e15fe9f5417d564608b74bde624a7	/moosefs/erikg/vgp/freeze1/objects/GCA/020/745/705/GCA_020745705.1/genes/GCA_020745705.1_bHemCom1.pri.cur.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	269515	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/745/705/GCA_020745705.1/GCA_020745705.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/745/705/GCA_020745705.1/GCA_020745705.1.fa.gz.fai	2	all 124 annotation sequence names and lengths match the target FAI
GCA_020745775.1	EXACT_DICTIONARY	db773831e8db81cfd5b517e438cd683534d722b7cd6ff6515f1ad7f75daaa4a1	/moosefs/erikg/vgp/objects/sha256/db/77/db773831e8db81cfd5b517e438cd683534d722b7cd6ff6515f1ad7f75daaa4a1	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_020745775.1/GCA_020745775.1-GB_2025_12_03/GCA_020745775.1_bTheCae1.pri.cur_genomic.gff.gz""]"	GCA_020745775.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	1186495	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/745/775/GCA_020745775.1/GCA_020745775.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/745/775/GCA_020745775.1/GCA_020745775.1.fa.gz.fai	3	all 88 annotation sequence names and lengths match the target FAI
GCA_020746105.1	EXACT_DICTIONARY	faa8cd1b0cb3cbdef9e7feb7ef0225c53c3b1a65f8062b8d65c4d3c473792f3d	/moosefs/erikg/vgp/objects/sha256/fa/a8/faa8cd1b0cb3cbdef9e7feb7ef0225c53c3b1a65f8062b8d65c4d3c473792f3d	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_020746105.1/GCA_020746105.1-GB_2025_11_26/GCA_020746105.1_bTroSur1.pri.cur_genomic.gff.gz""]"	GCA_020746105.1-GB_2025_11_26	Vertebrate Genome Laboratory	GFF3	543304	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/746/105/GCA_020746105.1/GCA_020746105.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/746/105/GCA_020746105.1/GCA_020746105.1.fa.gz.fai	3	all 182 annotation sequence names and lengths match the target FAI
GCA_020800305.1	EXACT_DICTIONARY	bb229d607b050bd284e9ac27aff7059cd2f45abbb6dee65f801b709468bb7e75	/moosefs/erikg/vgp/objects/sha256/bb/22/bb229d607b050bd284e9ac27aff7059cd2f45abbb6dee65f801b709468bb7e75	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_020800305.1/GCA_020800305.1-GB_2025_12_03/GCA_020800305.1_bPorHoc1.mat.Z.cur_genomic.gff.gz""]"	GCA_020800305.1-GB_2025_12_03	Vertebrate Genome Laboratory	GFF3	789427	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/800/305/GCA_020800305.1/GCA_020800305.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/020/800/305/GCA_020800305.1/GCA_020800305.1.fa.gz.fai	3	all 174 annotation sequence names and lengths match the target FAI
GCA_021292165.1	EXACT_DICTIONARY	c4973c8a1e1b1c8a168a6777d070f3915d1966294ecb92138fbe59ba731341cd	/moosefs/erikg/vgp/objects/sha256/c4/97/c4973c8a1e1b1c8a168a6777d070f3915d1966294ecb92138fbe59ba731341cd	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_021292165.1/GCA_021292165.1-GB_2025_09_20/GCA_021292165.1_IOZ_Scro_1.0_genomic.gff.gz""]"	GCA_021292165.1-GB_2025_09_20	Vertebrate Genome Laboratory	GFF3	1121868	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/021/292/165/GCA_021292165.1/GCA_021292165.1.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/021/292/165/GCA_021292165.1/GCA_021292165.1.fa.gz.fai	3	all 1553 annotation sequence names and lengths match the target FAI
GCA_022682495.2	EXACT_DICTIONARY	d7c810086173ed6a4861a1304fdf9f3e0c02f041d61ffbac06601e2fab949797	/moosefs/erikg/vgp/freeze1/objects/GCA/022/682/495/GCA_022682495.2/genes/GCA_022682495.2_HLdesRot8A.1.augustus.gtf.gz	[]	AUGUSTUS	AUGUSTUS	GTF	583658	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/022/682/495/GCA_022682495.2/GCA_022682495.2.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/022/682/495/GCA_022682495.2/GCA_022682495.2.fa.gz.fai	2	all 126 annotation sequence names and lengths match the target FAI
GCA_023333525.2	EXACT_DICTIONARY	39d87b9f9af2266a52d192db9934bb6947a46ec8ea23af037dc998c800e325ea	/moosefs/erikg/vgp/objects/sha256/39/d8/39d87b9f9af2266a52d192db9934bb6947a46ec8ea23af037dc998c800e325ea	"[""/moosefs/erikg/vgp/annotations/by-accession/GCA_023333525.2/GCA_023333525.2-GB_2025_09_16/GCA_023333525.2_rAspTig1.1.pri_genomic.gff.gz""]"	GCA_023333525.2-GB_2025_09_16	Vertebrate Genome Laboratory	GFF3	1274221	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/023/333/525/GCA_023333525.2/GCA_023333525.2.fa.gz	/moosefs/erikg/vgp/derived/freeze1-bgzf/objects/GCA/023/333/525/GCA_023333525.2/GCA_023333525.2.fa.gz.fai	3	all 186 annotation sequence names and lengths match the target FAI
